.autoport/lib/proof_run.sh:1383,1419 | Tout nouveau PID après le premier est classé crash, sans protocole de redémarrage attendu | La persistance demandée nécessite un support autorisé du harnais ou une campagne explicitement déclarée ; aucun zéro possible dans cette course.
goal_src/jak1/pc/progress-pc.gc:res-menu-audit! | Essai4 a7/r4 BASE1280x540 à100% et r5 BASE1600x675 à80% rendent 691200 pixels identiques ; convergence et cadence non établies | Deux obligations de résultat restent non prouvées ; res_unproved_drs_monotonicity reste à 1.
goal_src/jak1/pc/progress-pc.gc:FLAG_MENU_OVERHAUL | La branche ON archivée est connue cassée et ne porte pas le nouveau câblage résolution/aspect | Réactiver la refonte réintroduirait les incohérences du menu.
game/graphics/opengl_renderer/fb_passes.cpp:frame_boundary | Le coût du verrou supplémentaire pour publier la taille de la dernière image n'est pas chronométré | Un coût CPU faible mais non chiffré s'ajoute par image.
android/build_custom_pack.sh (bundleJak1CustomPack) | Appel python3 vers .autoport/apply_owner_tuning.py absent, erreur non fatale au packaging | Réglages owner potentiellement non appliqués ; portée fonctionnelle non vérifiée
game/graphics/pipelines/opengl.h:64 | init_splash et draw_splash remplacent des virtuelles sans override, avertissements clang | Bruit récurrent de compilation
game/graphics/opengl_renderer/background/shrub_contact_measurement.h:140 | Variable locale tree masque le paramètre tree, avertissement -Wshadow lors du build bureau | Lisibilité et bruit de compilation, impact fonctionnel non établi
common/symbols.h:514 | GCC signale control reaches end of non-void function au build bureau | Retour potentiellement indéfini ; pas corrigé ni testé dans ce périmètre
game/kernel/common/kmachine.cpp:1037,1047,232,668,864 | Avertissements GCC strict-aliasing, fallthrough et strcpy hors bornes au build bureau | Risques latents à qualifier, aucun échec compilation observé
build-desktop-attempt2-compiler.log | Autres avertissements préexistants : shadows opengl.cpp, mallinfo déprécié, variables/fonction/paramètres inutilisés et redéclaration ksocket.h | Bruit de compilation ; pas de correction dans le périmètre
goal_src/jak1/pc/progress-pc.gc:res-menu-audit! | La restauration après annulation est corrigée mais son branchement de fin de collecte doit être distingué de la restauration normale du parcours | Ne pas présenter une restauration normale comme preuve du chemin annulation.
android/android_gfx.cpp:719 | Le tampon ov[16] reçoit __system_property_get sans borne ; seul le tampon render.scale a été corrigé dans ce périmètre | Une propriété perf.nooverlap trop longue peut écraser la pile ; autres lecteurs à auditer.
.autoport/reports/res-menu-truth/notes/build-attempt4.log:134 | Le packaging custom émet 18 erreurs tail Broken pipe puis réussit | Bruit non fatal pouvant masquer une erreur distincte ; origine et impact fonctionnel non vérifiés.
.autoport/reports/res-menu-truth/notes/build-attempt4-arm64.log:355 | GOAL redéfinit PC_KERNEL_VERSION avec avertissement sur les deux architectures | Bruit de compilation ; impact fonctionnel non vérifié.
.autoport/reports/res-menu-truth/notes/build-attempt4-arm64.log:1391 | Le build de niveau remplace les couleurs absentes de Plane et Cube.001 à Cube.005 par du blanc, puis journalise Worst diff 0 en erreur | Valeurs de couleur substituées ; pertinence fonctionnelle non vérifiée.
goal_src/jak1/pc/progress-pc.gc:9287-9293 et pckernel-common.gc:1072 | Sur un écran automatique plus large que 8:3, une largeur proposée de 640 donne une hauteur sous 240 que le parseur refuse au redémarrage ; cas non exécuté | Persistance potentiellement perdue sur ces écrans.
goal_src/jak1/pc/pckernel-common.gc:414 | Le correctif conserve le pourcentage sous DRS ; deux bases peuvent toujours converger au même FBO optimal pour la cible et le minimum choisis | La monotonie stricte après convergence est incompatible avec le contrat DRS conservé ; obligation res-menu-truth non satisfaite.
goal_src/jak1/pc/pckernel-common.gc:397 | Le contrôleur partagé est aussi utilisé par Jak2 ; cet essai ne lance que Jak1 USB | Le comportement du changement de base Jak2 reste non mesuré.
.autoport/reports/res-menu-truth/proof-engine.log:07:23:01.316,07:24:05.034 | Deux traces RES-EDGE sont fragmentaires (source absente puis FBO/frame absent), malgré compteur moteur1500 ; export1498 complets | Le détail intégral de ces deux bascules manque, origine de perte non établie ; aucune donnée reconstruite.
goal_src/jak1/pc/progress-pc.gc:9638–9641,9709–9710 | Les deux obligations restart/monotonie sont des indicateurs constants non levés par l’audit actuel, qui ne persiste pas le choix | Rejouer la même matrice ne peut pas établir ces obligations ; préciser le contrat et le protocole avant nouvelle course.
.autoport/backlog.yaml:7197–7252 | Essai6 reprend le périmètre identique sans proof_plan de redémarrage malgré blocage explicite du handoff essai5 | Une relance identique consomme un essai et une course sans possibilité de satisfaire le livrable.
