# lighting-legacy-purge — signalements. Une ligne par trouvaille :
# <fichier:ligne ou zone> | <ce qui cloche> | <ce que ca coute de le laisser>
# Etat au terme de l'essai 4 (2026-09-11). Les deux lignes reglees par l'essai 4 sont
# marquees [REGLE] et gardees une revision pour que le superviseur voie ce qui a bouge.

[REGLE essai 4] common/custom_data/MeshSubdivide.cpp, common/CMakeLists.txt:41, android/CMakeLists.txt:861 | Le reglage #9 « Subdivision du maillage » etait purge cote knob mais son implementation restait COMPILEE dans libgk.so arm64 et dans libcommon x86 | regle : le .cpp a quitte les deux listes de sources du jeu et est compile directement par tools/tess_audit et tools/tess_sign, qui restent entiers  -> ecarte: REGLE par l essai 4 lui-meme

[REGLE essai 4] game/kernel/jak1/kmachine.cpp:424-456,525-528 | La garde anti-boucle d'amorcage reecrivait encore `pbr-test-preset = <n>` dans settings.ini et journalisait « pbr-test-preset -> default » — un reglage de l'ancien monde dont la clause de lecture (pckernel.gc:526) est une PIERRE TOMBALE qui jette la valeur. Trouve parce que la course d'appareil de 03:31 a EMIS la ligne | regle : `recharged_reset_risky_ini()` et son appel sont supprimes, la garde generale reste entiere. Temoin d'artefact sur le .so livre : ancien message 0, nouveau message 1, « crash-loop guard » 2 ; et la course d'appareil de 03:46 a emis le NOUVEAU message  -> ecarte: REGLE par l essai 4 lui-meme

[REGLE essai 4, PARTIEL] android/app/src/main/AndroidManifest.xml (MainActivity, LoaderActivity) | Ni showWhenLocked ni turnScreenOn : `am start` reussissait, l'activite n'etait jamais REPRISE ecran verrouille, le moteur tournait sans surface et rendait frames=0 crash=0 | regle pour le verrou ORDINAIRE (mesure : les deux activites atteignent onResume avec isKeyguardLocked=true, ce qui n'arrivait jamais avant). NE regle PAS le voile anti-poche MIUI : voir la ligne suivante  -> ecarte: supplante par l app-op 10020, corrige au point de production

.autoport/lib/proof_run.sh (bloc appareil, ~438-500) | proof_run ne sait pas distinguer « l'appareil a dessine 0 image parce que le moteur est casse » de « l'appareil n'a PAS PU dessiner parce que le systeme le maintient invisible ». Mesure du 2026-09-11 : proximite 0,00 ET lumiere ambiante 0,00 en continu sur le Redmi, mCurrentFocus=ScreenOnProximitySensorGuide, l'activite passe onResume -> onPause -> onStop en 40 ms | 5 courses d'appareil brulees sur les essais 2, 3 et 4 pour un frames=0 qui se lit comme une regression moteur. Tant que proof_run ne consigne pas mCurrentFocus et les deux capteurs a cote de frames=, l'essai suivant refera le meme diagnostic a partir de zero  -> item:proof-context-on-zero-frames

`adb shell dumpsys package <pkg>` | N'imprime PAS les attributs showWhenLocked/turnScreenOn d'une activite : un `grep -c` dessus rend 0 alors que `aapt2 dump xmltree` sur l'APK installe rend bien les deux attributs | faux ROUGE d'instrument : j'ai failli conclure que le manifeste n'avait pas ete fusionne. Le seul temoin qui vaille est aapt2 sur l'APK  -> ecarte: lecon d instrument, consignee en memoire du superviseur

game/graphics/opengl_renderer/lighting_census.cpp:67, game/graphics/opengl_renderer/shade_proof.cpp:19 | kGateNames[2] et kGateTokens[2] listent encore `u_rt_probe_on`, jeton qui n'est plus declare ni lu dans aucun shader (verifie : toutes les occurrences du blob arm64 livre sont en COMMENTAIRE) | glGetUniformLocation rend -1 pour TOUT programme : `s_rb_noloc` gagne un plancher permanent d'une unite par creneau et `light_census_rb_bad_2` est EPINGLE A 0 par construction. NON CORRIGE A DESSEIN : reduire la table de 4 a 3 entrees RENOMME des cles publiees (light_census_rb_bad_3) que d'autres portes peuvent lire — c'est un chantier de l'item lighting-unify, pas un geste a glisser dans cet essai  -> item:census-false-reds

game/graphics/opengl_renderer/lighting_census.cpp:710-712, .h:69 | `gate_probe(int)` n'a AUCUN appelant depuis le retrait de FollowProbe::update_and_bind ; `s_gate_probe` est donc une constante 0 : le composite D (:780) est INATTEIGNABLE et le 3e terme du composite A (:777 `s_gate_probe == 0`) est une TAUTOLOGIE | `light_census_D=0` n'est plus une mesure mais le miroir d'une variable que personne n'ecrit — porte non falsifiable  -> item:census-false-reds

game/graphics/opengl_renderer/shade_proof.cpp:128 | `info.reads_a_gate = true` est execute AVANT le test de region et AVANT `line_is_comment` : un programme dont la seule occurrence d'un jeton est un COMMENTAIRE, et qui ne porte pas le modele, est compte dans `shade_hosts_missing` (:218-219) | faux ROUGE latent ; il mordra des qu'un jeton de la table ne survivra qu'en commentaire — ce qui est deja le cas de 9 des 11 noms herites dans le blob livre  -> item:census-false-reds

game/graphics/opengl_renderer/shaders/shade.glsl:113,336 pbr_fused.glsl:722 | `u_rt_probe_on` survit dans des commentaires que le blob Android embarque | inoffensif aujourd'hui, piege demain : le jour ou quelqu'un l'ajoute au recensement, l'artefact rendra un non-zero fabrique par du commentaire  -> item:census-false-reds

game/graphics/gfx.h:299,416,431 + game/kernel/jak1/kmachine.cpp:5115 + goal_src/jak1/pc/mesh-browser-pc.gc:1816 | `mb_cur_target_tess`/`mb_frame_target_tess` : compteur PUBLIE, lu par GOAL et affiche (`rtf_tess=~D`), dont le seul site d'INCREMENTATION est parti avec le programme TFRAG3_TESS | compteur sans site d'ecriture : il affichera 0 pour toujours et se lira comme une mesure, pas comme une absence  -> item:mesh-browser-removal

game/graphics/opengl_renderer/background/background_common.cpp:1145-1146 | Le classificateur de couverture teste encore `disp == 2` (tessellation) alors que `g_cover_displacement` recoit la constante kPbrDisplacement=1, et `(bis & 128)` alors que `g_cover_bisect` recoit le litteral 0 : deux conditions structurellement mortes | seau `disp_tess` publie avec une legende qui nomme « the TFRAG3_TESS program », programme qui n'existe plus : une legende morte dans une sortie vivante  -> item:dead-cover-and-legends

game/graphics/opengl_renderer/hdr.cpp:212-213 | `kCompressionTokens[]` liste encore "MM_KNEE" et "mm_tonemap_aces", jetons de `pbr_modern.glsl` — fichier SUPPRIME | entrees mortes dans une table vivante : elles ne peuvent plus jamais correspondre  -> item:census-false-reds

