game/graphics/opengl_renderer/background/Shrub.cpp:365 et shaders/shrub.vert:87 | Le pivot ymin immobilise un plan sans identifier les sommets partages ou coincidents feuille/tronc | La solidarite geometrique contractuelle reste non prouvee.
game/graphics/opengl_renderer/background/foliage_wind.cpp:1636 | supports compare des bornes et accepte meme un pied au-dessus du porteur ; shrub_joint_pairs compte des candidats, pas des jonctions de sommets | Un zero du diagnostic de pivots ne peut pas valider les jonctions.
game/graphics/opengl_renderer/shaders/vegetation_contact.glsl:40 | anchor.y sert aussi a la fenetre verticale du contact, donc le pivot deplace cette excitation ; occurrence sur mini-palmiers non mesuree | Un feuillage porte peut sortir du contact direct, mouvement des feuilles non garanti.
game/graphics/opengl_renderer/background/foliage_wind.cpp:1580 | Les compteurs existants mesurent classes et ancres CPU, aucun deplacement reel sous contact | Aucun verdict shrub_trunk_squash_defects fiable disponible ; instrument neuf interdit par les DIRECTIVES de cet essai.
game/graphics/opengl_renderer/background/foliage_wind.cpp:195 | La population eligible depend du lexique manuel de vegetation preexistant et la promotion est locale au niveau | Les prototypes absents du lexique ou trop rares ne sont pas couverts par la classe tronc.
game/graphics/opengl_renderer/background/foliage_wind.cpp:1629 | La recherche geometrique conserve un parcours quadratique et des passes apres promotion et aux LOD, cout non mesure | Un surcout de chargement sur les niveaux denses reste possible.
common/custom_data/Tfrag3Data.h:588 | Les commentaires deduisent encore la solidarite des jonctions de la seule absence d'ancre | Risque de reutiliser une justification structurelle comme preuve de deplacement.
contrat shrub-trunk-contact, OFF et acquis | Aucun binaire temoin anterieur ni comparaison des deplacements vent/contact herbe n'est prevu par l'instrument existant | Identite OFF et absence de regression dynamique restent non prouvees.
game/graphics/pipelines/opengl.h:64-65 | init_splash et draw_splash omettent override, warnings observes dans attempt-3-build.log | Bruit recurrent du build masque les nouveaux avertissements.
android/build_custom_pack.sh:56 | Le pack appelle apply_owner_tuning.py absent et ignore son echec, observe dans attempt-3-build.log | Les reglages owner attendus par cette etape ne sont pas appliques par ce script.
android/build_custom_pack.sh:160 | Le pipeline de lecture d'en-tete produit 18 messages tail Broken pipe au repack | Bruit de build et interpretation des erreurs rendue plus difficile.
Gradle, notes/attempt-3-gradle-client-threads.log et attempt-3-gradle-daemon-threads.log | Apres BUILD SUCCESSFUL, client bloque monitorBuild et daemon attend ForwardClientInput.stopConsuming ; TERM client exact a 104 s | Le verrou de livraison reste occupe apres production de l'APK, cout observe environ 97 s au-dela des taches.
preuve USB ON essai 3, proof.txt wind_contact_defects | wind_contact_defects=999999 (non mesure) dans la nouvelle course | La regression dynamique vent et contact herbe ne peut pas etre declaree exclue.
