game/graphics/opengl_renderer/background/background_common.cpp (commentaire Round-4 « soleil dir0 + lune verte dir1 + fill dir2 ») | dir1 n'est pas la lune : c'est le 2e creneau du morph de `update-mood-palette` (mood.gc:146) | fausse piste pour lighting-shadows / lighting-actors
game/graphics/opengl_renderer/SkyCapture.cpp | `recharged_sky` vaut « un niveau ACTIF a un ciel » (time-of-day.gc:197) : en lavatube il vaut 1 (voisin charge) et la capture lit la couleur d'effacement, forme plate | sans consequence visible (forme isotrope), mais le ciel du niveau de la CAMERA n'est pas distingue
game/graphics/opengl_renderer/SkyCapture.cpp | camera fixe de la preuve : 18 cases vues sur 128 a swamp, les rangees non vues prennent la moyenne de la rangee vue la plus proche -> env_sh_up_down_x1000=1000 | la forme mesuree ne se remplit qu'en tournant la camera ; la porte ne peut pas juger la forme
SPEC §4.10 / §4.12 | niveaux sans ciel : SH isotrope (aucune forme) faute de sondes cuites (sections PROBES vides) ; l'ancienne ambiante procedurale y donnait une forme | ombres interieures (lavatube, darkcave) plus plates jusqu'a lighting-interiors
SPEC §4.10 | recharged_assets/lighting_overrides.txt (ajustement par niveau/creneau, §5.7.2) non fait | aucune soupape sans rebuild si l'owner veut retoucher un niveau
SPEC §4.10 | TIE envmap (etie) non repointe sur un tex_env_cube : la capture est une grille SH, pas un cube | reflets TIE et PBR toujours sur deux mondes differents
SPEC §4.11 (colonne speculaire) | u_rt_regime.z publie sans lecteur : le composite n'a pas de terme speculaire | colonne du tableau sans effet tant qu'aucun speculaire n'existe
SPEC §7.3 | garde a deux references (master OFF, recharged_lighting OFF) non rejouee par cet item : aucun mecanisme ne la produit (validators/generic.sh ne la lit pas) | bit-identite des deux origines tenue par construction (tout est sous l'eclairage actif), pas mesuree
SPEC §7.2 | `env_amb_tone_delta` publie en relatif sous `env_amb_tone_delta_ppm` (0 par construction du renormalisateur) | un lecteur qui chercherait la cle nue ne la trouvera pas
background_common.cpp regime::audit_dir | le signe de la cle n'est verifie que sur les creneaux des niveaux charges pendant la course (swamp midi, village1 1 h) ; lavatube et snow non rejoues (pas de campagne multi-scenes) | une inversion propre a un creneau de ces niveaux ne serait vue qu'au test de l'owner
background_common.cpp regime::frame (swamp midi) | produit scalaire mini cle/creneau 0,318 : la cle est la moyenne ponderee de creneaux dont les directions divergent (dome + cle) | la cle d'un melange de creneaux eloignes perd de sa nettete ; a juger a l'oeil, pas un defaut mesure
DIRECTIVES « Ticket Linear » / bureau | capture du bureau non obtenue : `import` (ImageMagick) sous Xwayland a echoue et `xwininfo` est absent ; aucun outil de capture de fenetre gk n'est fourni au worker | chaque item visuel livre sur x86 part en --no-capture
common/custom_data (normales lissees tfrag, `normal_in` de tfrag3.vert:83) | la normale stockee est OPPOSEE a la face sur 95 % du sol de village3 et ~60 % de village1 (floor_normal_flipped_ppm) ; corrige a l'ombrage (shade_body l'oriente sur gN), pas a l'extraction | tout autre lecteur de `normal_in`/`v_normal` hors shade() (herbe, prepasse, AO, offsets d'ombre) lit encore une normale retournee
game/graphics/opengl_renderer/floor_probe.cpp | la sonde sol ne voit que tfrag3 (seul hote qui definit OG_HUT_COLOR) ; TIE/shrub non mesures | un sol TIE qui tomberait au noir ne serait pas compte
game/graphics/opengl_renderer/floor_probe.cpp do_read_and_detach | `glGetError()` avant la relecture consomme une erreur GL posee par un autre code | une autre sonde qui testerait glGetError ensuite ne verrait plus son erreur
game/graphics/gfx.h:297-299 | commentaires « rgb 0..255 raw » faux : ambi/couleurs du groupe sont en unites de table (0..2 ; ambiante mesuree 0,369) | fausse piste pour qui dose l'ambiante
shaders/shade.glsl:177 | `u_rt_shadow_mul` declare, plus lu par le composite | uniforme mort (retire par le compilateur GLSL)
background_common.cpp u_rt_bake_al | la part directe du cuit est estimee sur la cle unique (lumieres projetees sur la cle, ambiante plate, art suppose ~1) ; palette B de lighting-bake toujours non lue | la ou art s'ecarte de 1 (marais 26,5 % hors bornes) la part directe est approchee
SkyCapture (village1-out, midi) | sky_capture_bins_seen=0 : aucune forme de ciel capturee sur ce point de vue (env_source=0) | au village de depart l'ambiante reste plate a cette camera
preuve | rapport ON/OFF calcule DANS le fragment (OFF = `base`, que le chemin eteint rend tel quel par construction), pas mesure sur une course OFF ; heure epinglee 12 h seulement (celle de l'owner inconnue) | un ecart entre `base` et le rendu OFF reel ne serait pas vu
